,Unnamed: 0,obs_1_in_lawn,obs_1_x,obs_1_y,obs_1_t,obs_1_z,obs_1_speed,obs_4_in_lawn,obs_4_x,obs_4_y,obs_4_t,obs_4_z,obs_4_speed,obs_5_in_lawn,obs_5_x,obs_5_y,obs_1_average_speed,obs_1_total_distance,obs_4_average_speed,obs_4_total_distance,obs_5_total_distance
32,33,True,613.167455147063,318.581089401593,32.0,0.0,690.990765912129,True,507.643636788346,407.606715267882,32.0,0.0,651.034020849273,False,530.095819408804,440.025776180693,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
33,34,True,612.78493111958,319.003635411177,33.0,0.0,690.846358615847,True,510.461789405248,405.010673992662,33.0,0.0,651.617130292627,False,530.831062570403,441.208608407989,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
34,35,True,612.799228394735,319.0109405707,34.0,0.0,690.862413599832,True,510.440871360158,405.253996577658,34.0,0.0,651.752011809002,False,532.047845609999,442.615446619573,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
35,36,True,612.093372608747,319.69533486111,35.0,0.0,690.552969672499,True,509.76123965026306,405.713992183623,35.0,0.0,651.506227831589,False,533.984837118659,444.959000337538,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
36,37,True,611.952841709432,319.831904923819,36.0,0.0,690.491656635653,True,508.363259370156,407.090769665777,36.0,0.0,651.272675785283,False,536.231992523635,447.370138949404,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
37,38,True,612.136291634208,319.712130636906,37.0,0.0,690.598788018101,True,508.054219875739,407.025379277506,37.0,0.0,650.990591106771,False,537.683633129811,448.09962693523505,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
38,39,True,611.714240401112,320.042743455705,38.0,0.0,690.377917917545,True,506.832788970166,408.60023174908497,38.0,0.0,651.025057398471,False,539.798343674508,449.300447312781,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
39,40,True,611.729585675546,320.059815092696,39.0,0.0,690.399428756967,True,507.346696341174,408.29315900716,39.0,0.0,651.232657335571,False,542.182990288105,450.920773279664,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
40,41,True,611.991944727875,319.959382174497,40.0,0.0,690.58536521801,True,506.60005425245294,408.97157025026,40.0,0.0,651.077077035854,False,544.092420284757,452.957111965531,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
41,42,True,611.945831961047,320.093087994286,41.0,0.0,690.606462637163,True,506.50700484038305,409.293250566364,41.0,0.0,651.20681116797,False,545.075654589784,454.00059479864,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
42,43,True,611.681722249957,320.232989364803,42.0,0.0,690.437322870216,True,506.420916283315,409.647900934178,42.0,0.0,651.362838354331,False,546.176434889387,454.749820611954,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
43,44,True,611.384331406002,320.401343143281,43.0,0.0,690.251998459101,True,506.561881585655,409.593964667305,43.0,0.0,651.438528003587,False,547.286361390586,455.726931736778,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
44,45,True,610.480225788875,321.076075340173,44.0,0.0,689.765142809554,True,506.505868738392,409.40611090226,44.0,0.0,651.276867937552,False,549.030461234246,457.411763827831,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
45,46,True,610.760002703977,320.950509640615,45.0,0.0,689.954353955052,True,506.335757554548,409.845852414672,45.0,0.0,651.421155720205,True,551.553121706943,459.781644204747,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
46,47,True,610.572187624699,321.08098724402,46.0,0.0,689.848821605433,True,506.600210896765,409.58447908591506,46.0,0.0,651.462369741128,True,553.391856049425,461.000397927324,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
47,48,True,610.621039404656,321.150171260163,47.0,0.0,689.924261251954,True,506.52408061917,409.844006952825,47.0,0.0,651.566385169035,True,554.329448061824,461.340177388719,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
48,49,True,610.41515135153,321.07580805712,48.0,0.0,689.707424578744,True,506.63848822628705,409.599946249787,48.0,0.0,651.501860104825,True,554.891497357727,461.572817325417,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
49,50,True,610.317192313292,321.232794592799,49.0,0.0,689.693833200703,True,506.532406708116,410.094649721875,49.0,0.0,651.730543074378,True,556.202576474904,461.97621166489694,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
50,51,True,610.646485263212,320.998865961898,50.0,0.0,689.876367121776,True,506.44778288209,410.475136661137,50.0,0.0,651.904283314018,True,557.426248161505,462.447172236266,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
51,52,True,611.889525106852,320.034298394729,51.0,0.0,690.529320944806,True,506.277369097508,410.836122672021,51.0,0.0,651.999305331282,True,561.231382736362,462.897262706959,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
52,53,True,612.585795399797,319.212257676818,52.0,0.0,690.766112498821,True,506.117587276291,411.164642399371,52.0,0.0,652.082337829953,True,562.366348332493,462.748466710044,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
53,54,True,612.17508034856,319.65662888257,53.0,0.0,690.607478520422,True,506.09001097664094,411.44915821857,53.0,0.0,652.2403767087,True,564.206462418985,462.488613991035,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
54,55,True,611.278965673371,320.622858847623,54.0,0.0,690.261538469535,True,506.131690151272,411.331102102214,54.0,0.0,652.198254622017,True,565.348090704841,462.491131143576,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
55,56,True,610.649489262002,321.13222726562,55.0,0.0,689.941088879711,True,506.03807941866495,411.80933264002,55.0,0.0,652.427363214596,True,566.718102213108,462.77521834711104,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
56,57,True,610.113945477547,321.477223795484,56.0,0.0,689.627893784344,True,506.054157814026,411.723853870175,56.0,0.0,652.385884646941,True,567.332310594424,462.974297184116,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
57,58,True,609.129512106114,322.308132319813,57.0,0.0,689.145336397279,True,506.022734916631,411.957116986218,57.0,0.0,652.508754338287,True,568.609455526407,463.52358533199,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
58,59,True,608.427334284521,322.821783597529,58.0,0.0,688.765362855637,True,505.890380286333,412.34290725592,58.0,0.0,652.649791259075,True,568.847725738706,463.475956574757,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
59,60,True,607.063305175119,324.358127133477,59.0,0.0,688.283409016719,True,505.609796573422,412.9778037789,59.0,0.0,652.83377118916,True,569.886826133152,463.767340309491,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
60,61,True,605.877715443961,326.466355656301,60.0,0.0,688.235488366518,True,505.712750085146,414.638038477334,60.0,0.0,653.964898561851,True,571.243943596217,463.967233659476,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
61,62,True,605.157686746743,328.699645755638,61.0,0.0,688.664855316831,True,506.186734024776,417.47730571864093,61.0,0.0,656.134369236031,True,573.564978516802,464.920678290577,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
62,63,True,604.497281830001,331.091381991175,62.0,0.0,689.230343911733,True,506.351819206023,420.23104832517504,62.0,0.0,658.016944150927,True,575.806342375428,465.860784488333,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
63,64,True,603.965301829073,332.737026298933,63.0,0.0,689.556389633031,True,506.355346050705,422.59909310432,63.0,0.0,659.534479740614,True,580.560190485462,467.296856546285,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
64,65,True,603.276426695482,334.109337778434,64.0,0.0,689.616920179031,True,506.43509623913,424.648611030575,64.0,0.0,660.910697108871,True,581.219993863145,467.085635749299,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
65,66,True,602.70330060823,335.336312451343,65.0,0.0,689.711324405015,True,506.202421072602,425.329534510242,65.0,0.0,661.170253434366,True,582.650634242686,466.93499481691,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
66,67,True,601.905329212959,336.451317330473,66.0,0.0,689.557477131799,True,505.433984539486,426.490477128593,66.0,0.0,661.330204821189,True,582.742128075856,467.073560450962,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
67,68,True,601.503446975153,337.037524509165,67.0,0.0,689.493067151698,True,505.517910123411,428.089549201039,67.0,0.0,662.426614494534,True,583.293714332632,466.89485134803294,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
68,69,True,600.427074685134,338.605535275854,68.0,0.0,689.323132162555,True,503.684413395818,433.228328520941,68.0,0.0,664.367949957655,True,583.235354492983,466.922235631247,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
69,70,True,598.954467999966,340.72037803289,69.0,0.0,689.084052016876,True,501.521971605334,435.9455854155,69.0,0.0,664.509474308805,True,583.963699276597,466.964201828532,579.7190254901001,411.70838448620054,746.8465148633838,356.49947873369,285.96487611654567
